
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)"
="",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL",="NOT_EQUAL"


="patents_pop1000",="-6.637*",="-3.990",="-3.667",="-1.727",="-5.757**",="0",="0",="-5.925*",="-6.097**",="-5.723**",="-4.889",="-5.336**",="-5.264*",="-5.728**",="-5.364*",="-5.238*",="-5.867*",="-5.476**",="-5.158*",="-5.401**",="-5.015**",="-5.580**",="-4.920*",="-5.139*",="-6.412**",="-4.669*",="-5.804*",="-5.769**",="-5.456**",="-3.609*",="-6.166**",="-4.425*",="-5.452**",="-5.087*",="-5.506**",="-5.643**",="-5.575**",="-4.784**",="-4.161",="-3.811",="-3.440",="-5.164*",="-6.241**",="-4.765",="-6.123**",="-4.771",="-4.954**",="-5.500*",="-5.704**",="-5.758**",="-5.478**",="-5.329**",="-5.612**",="-5.372**",="-5.519**"
="",="(2.0721)",="(2.0186)",="(2.8148)",="(1.8484)",="(1.5199)",="(.)",="(.)",="(2.4492)",="(1.7766)",="(1.5946)",="(2.7658)",="(1.0732)",="(2.0170)",="(1.6554)",="(2.0004)",="(2.0203)",="(2.0195)",="(1.6657)",="(2.2808)",="(1.5445)",="(1.4916)",="(1.6310)",="(1.8940)",="(2.1982)",="(1.6484)",="(1.6343)",="(2.3822)",="(1.6167)",="(1.6548)",="(1.5349)",="(1.7432)",="(1.5481)",="(1.5867)",="(1.8797)",="(1.6433)",="(1.6222)",="(1.6538)",="(1.4880)",="(2.3089)",="(2.4766)",="(2.0579)",="(2.3040)",="(1.8479)",="(2.2570)",="(1.5654)",="(2.3358)",="(1.6131)",="(1.8670)",="(1.7276)",="(1.7120)",="(1.5929)",="(1.5968)",="(1.6815)",="(1.5655)",="(1.6562)"

="oecd_tertiary",="0.0529*",="0.0270",="0.0470",="0.0458*",="0.0272",="-0.209",="-0.0879",="0.0363",="0.0392",="0.0401*",="0.0409",="0.0443",="0.0528",="0.0374",="0.0491",="0.0526",="0.0471",="0.0346",="0.0366",="0.0217",="0.0430*",="0.0343",="0.0352",="0.0446",="0.0259",="0.0182",="0.0203",="0.0365",="0.0346",="0.0175",="0.0342",="0.0283",="0.0393*",="0.0318",="0.0354",="0.0337",="0.0313",="0.0311",="0.0440",="0.0438*",="0.0226",="0.0363",="0.0277",="0.0371",="0.0248",="0.0400",="0.0317",="0.0343",="0.0352",="0.0401",="0.0345",="0.0323",="0.0338",="0.0268",="0.0332"
="",="(0.0226)",="(0.0246)",="(0.0237)",="(0.0168)",="(0.0182)",="(.)",="(.)",="(0.0301)",="(0.0187)",="(0.0178)",="(0.0289)",="(0.0166)",="(0.0273)",="(0.0185)",="(0.0248)",="(0.0262)",="(0.0229)",="(0.0211)",="(0.0208)",="(0.0191)",="(0.0167)",="(0.0178)",="(0.0178)",="(0.0221)",="(0.0178)",="(0.0201)",="(0.0252)",="(0.0175)",="(0.0180)",="(0.0162)",="(0.0174)",="(0.0162)",="(0.0179)",="(0.0190)",="(0.0182)",="(0.0176)",="(0.0195)",="(0.0171)",="(0.0213)",="(0.0204)",="(0.0186)",="(0.0202)",="(0.0194)",="(0.0188)",="(0.0176)",="(0.0221)",="(0.0172)",="(0.0200)",="(0.0180)",="(0.0206)",="(0.0174)",="(0.0175)",="(0.0180)",="(0.0181)",="(0.0192)"

="tradefreedom",="0.121",="0.134",="0.0423",="0.0487",="0.103",="0",="-3.005",="0.126",="0.0943",="0.0792",="0.0218",="0.0927",="0.0516",="0.0864",="0.0501",="0.0575",="0.0865",="0.0735",="0.0757",="0.0838",="0.114",="0.0853",="0.0627",="0.0425",="0.0424",="0.0370",="0.0861",="0.0542",="0.0719",="-0.0158",="0.120",="-0.0321",="0.102",="0.0661",="0.0747",="0.0563",="0.0790",="0.0893",="0.0808",="0.0823",="0.118",="0.0739",="0.0540",="0.0797",="-0.0224",="0.0804",="0.0400",="0.0732",="0.0648",="0.0538",="0.0733",="0.0269",="0.0626",="0.0577",="0.0665"
="",="(0.0895)",="(0.0856)",="(0.0821)",="(0.0575)",="(0.0636)",="(.)",="(.)",="(0.1178)",="(0.0725)",="(0.0675)",="(0.1298)",="(0.0853)",="(0.0802)",="(0.0670)",="(0.0811)",="(0.0818)",="(0.0888)",="(0.0780)",="(0.0726)",="(0.0635)",="(0.0675)",="(0.0732)",="(0.0732)",="(0.0808)",="(0.0678)",="(0.0714)",="(0.0875)",="(0.0718)",="(0.0725)",="(0.0683)",="(0.0844)",="(0.0821)",="(0.0741)",="(0.0732)",="(0.0716)",="(0.0731)",="(0.0727)",="(0.0604)",="(0.0708)",="(0.0706)",="(0.0733)",="(0.0717)",="(0.0737)",="(0.0725)",="(0.0881)",="(0.0732)",="(0.0727)",="(0.0717)",="(0.0743)",="(0.0798)",="(0.0694)",="(0.0827)",="(0.0776)",="(0.0692)",="(0.0795)"

="oecd_gdp_pc_ppp2017",="-0.00000402",="-0.00000214",="-0.00000839",="-0.0000127",="-0.00000887",="0.000583",="-0.0000155",="-0.000000786",="0.00000157",="-0.00000106",="-0.00000688",="-0.0000175",="-0.00000161",="-0.00000267",="-0.000000763",="-0.00000400",="-0.00000258",="-0.000000524",="-0.00000111",="-0.00000437",="-0.000000468",="-0.00000228",="-0.00000110",="-0.00000528",="0.00000662",="0.00000201",="0.00000397",="0.00000118",="-0.000000115",="0.00000293",="-0.00000280",="-0.00000416",="-0.00000222",="-0.00000624",="-0.00000271",="-0.000000749",="0.00000365",="-0.0000151",="0.00000264",="0.00000216",="0.00000231",="0.000000150",="-0.00000278",="0.00000199",="-0.000000821",="0.000000175",="0.00000363",="-0.000000456",="0.000000866",="-0.000000229",="-0.000000510",="-0.00000483",="-0.000000484",="0.00000420",="1.57e-08"
="",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(.)",="(.)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)"

="manager_inc_ratio50",="1.130",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.7952)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="manager_inc_ratio90",="",="0.403",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.2276)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="prof_inc_ratio50",="",="",="0.857",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.9073)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="prof_inc_ratio90",="",="",="",="0.889**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.2728)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_bus_services",="",="",="",="",="1.216",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(2.4100)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_dentist",="",="",="",="",="",="0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_doctor",="",="",="",="",="",="",="0",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_engin",="",="",="",="",="",="",="",="6.919",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(5.6051)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_finance",="",="",="",="",="",="",="",="",="-0.838",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(2.2599)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_health_edu_pub",="",="",="",="",="",="",="",="",="",="0.996",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(1.8444)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_lawyer",="",="",="",="",="",="",="",="",="",="",="-0.344",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(4.7388)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_legal",="",="",="",="",="",="",="",="",="",="",="",="1.497",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(3.9680)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_manager_occ",="",="",="",="",="",="",="",="",="",="",="",="",="-0.414",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.2527)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_mfg_mining",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.487",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.6374)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="sh_top1_not_elite_occ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.159",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.3503)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

