broad_occ,broad_occ_sector,change,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,sector,sh_change,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,top11970,top11980,top11990,top12000,top12015,us_change,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,xsh_top1
"Finance and sales","Finance and salesCon",-358.9999,.2556207,.112571,.1410347,.2352642,.188779,1100,1380,1507,2376,1021,"Con",-.0012799,.0015056,.0014861,.001355,.0018456,.0008444,.0298103,.0270801,.0175825,.0215986,.0098988,280495,730600,928580,1112210,1287406,1209075,-.0006417
"Service","ServiceTran_U_Com",635,.0755377,.0843484,.0624389,-.0173519,-.0466225,200,360,359,513,995,"Tran_U_Com",.0022639,.0002737,.0003877,.0003228,.0003985,.0008229,.0012315,.0015393,.0012361,.0016226,.0028304,280495,730600,928580,1112210,1287406,1209075,.0004353
"Service","ServiceO_Serv",392,-.5236522,-.6246302,-.7489697,-.5155569,-.4385853,100,440,381,2325,832,"O_Serv",.0013975,.0001369,.0004738,.0003426,.001806,.0006881,.0005504,.0010389,.0004451,.0013937,.0003583,280495,730600,928580,1112210,1287406,1209075,.0002143
"Transportation","TransportationAg_Min_Mfg",-2101,-.0153639,.0381827,-.0032232,-.0165403,-.0571786,1500,2920,2087,2514,819,"Ag_Min_Mfg",-.0074903,.0020531,.0031446,.0018764,.0019528,.0006774,.0011197,.0014562,.0012054,.0017361,.0005749,280495,730600,928580,1112210,1287406,1209075,-.0024672
"Administrative","AdministrativePub",-696,.2410332,.1180154,.1049754,.0696307,.1687483,1500,1440,880,1137,744,"Pub",-.0024813,.0020531,.0015508,.0007912,.0008832,.0006153,.001449,.0009381,.00061,.0007702,.0005738,280495,730600,928580,1112210,1287406,1209075,-.0009354
"Transportation","TransportationCon",59,-.0653307,-.0293434,-.0031167,.0063616,.0126161,400,640,421,595,699,"Con",.0002103,.0005475,.0006892,.0003785,.0004622,.0005781,.0023296,.0032353,.0020824,.0028125,.0029464,280495,730600,928580,1112210,1287406,1209075,-.0001111
"Craft and construction","Craft and constructionHealth",61,.0197385,.0016567,.0644561,.0536139,.1219046,700,580,562,405,641,"Health",.0002175,.0009581,.0006246,.0005053,.0003146,.0005302,.008149,.0042084,.0035243,.0015117,.0016808,280495,730600,928580,1112210,1287406,1209075,-.0000945
"Service","ServiceEnter",298,-.4153757,-.4425735,-.40359,-.2746761,-.338159,400,320,321,951,618,"Enter",.0010624,.0005475,.0003446,.0002886,.0007387,.0005111,.0030511,.0013941,.0009607,.0017555,.0008042,280495,730600,928580,1112210,1287406,1209075,.0001665
"Service","ServiceEd",-379,-.5717392,-.6415954,-.530109,-.5298924,-.4930976,300,940,313,1456,561,"Ed",-.0013512,.0004106,.0010123,.0002814,.001131,.000464,.0003544,.0007808,.0003162,.0014223,.0004698,280495,730600,928580,1112210,1287406,1209075,-.0005483
"Finance and sales","Finance and salesEd",464,-.6999953,-.6879272,-.6153013,-.4600095,-.3599411,0,80,20,286,544,"Ed",.0016542,0,.0000862,.000018,.0002222,.0004499,0,.0016254,.0002686,.0038176,.0070173,280495,730600,928580,1112210,1287406,1209075,.0003638
