broad_occ,broad_occ_sector,change,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,sector,sh_change,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,top11970,top11980,top11990,top12000,top12015,us_change,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,xsh_top1
"Professional specialists","Professional specialistsAg_Min_Mfg",10905,.2152823,.2067544,.2294319,.2289658,.3077365,19300,18880,19746,24900,29785,"Ag_Min_Mfg",.0388777,.0264166,.0203321,.0177538,.0193412,.0246345,.0113918,.0087399,.007634,.0094689,.0117105,280495,730600,928580,1112210,1287406,1209075,.0043024
"Professional specialists","Professional specialistsO_Serv",10971,-.1821807,-.2470732,-.2359817,-.2141111,-.2009839,18500,16320,20791,23591,27291,"O_Serv",.039113,.0253217,.0175752,.0186934,.0183244,.0225718,.0193272,.010611,.0090539,.006918,.0059081,280495,730600,928580,1112210,1287406,1209075,.0049966
"Managerial","ManagerialCon",3288.002,.3373402,.3026035,.3320897,.3580257,.29985,24100,21300,30903,40338,24588,"Con",.0117221,.0329866,.0229382,.0277852,.0313328,.0203362,.0584951,.0562154,.0391461,.0389281,.0180652,280495,730600,928580,1112210,1287406,1209075,-.002602
"Managerial","ManagerialHealth",17968,.2462588,.227063,.2705639,.3080148,.3448837,3400,4740,9951,15938,22708,"Health",.0640582,.0046537,.0051046,.0089471,.0123799,.0187813,.0256992,.0139428,.0136892,.0203544,.0196029,280495,730600,928580,1112210,1287406,1209075,.0136767
"Professional specialists","Professional specialistsTran_U_Com",5712,.2710219,.26149,.2911254,.3083487,.3340248,11200,14820,14841,17660,20532,"Tran_U_Com",.020364,.0153299,.0159599,.0133437,.0137175,.0169816,.0378378,.0287968,.0195106,.0193841,.0199193,280495,730600,928580,1112210,1287406,1209075,.0010217
"Professional specialists","Professional specialistsBus_Rep",16341,.0848368,-.0454184,.0424357,.1513789,.1363088,2700,3840,8630,19842,20181,"Bus_Rep",.0582577,.0036956,.0041353,.0077593,.0154124,.0166913,.0164835,.00904,.0101894,.0119638,.0081772,280495,730600,928580,1112210,1287406,1209075,.0125559
"Professional specialists","Professional specialistsEd",8362.001,-.0656207,-.1281749,-.2125242,-.2643681,-.2584323,14200,11220,12285,13010,19582,"Ed",.0298116,.0194361,.012083,.0110456,.0101056,.0161959,.0042319,.002493,.0022858,.0018368,.002363,280495,730600,928580,1112210,1287406,1209075,.0041129
"Professional specialists","Professional specialistsFin",11635,.2540222,.238976,.3529423,.3817495,.4134452,2000,2720,7894,11912,14355,"Fin",.0414802,.0027375,.0029292,.0070976,.0092527,.0118727,.0254777,.0145798,.0194378,.021365,.0178495,280495,730600,928580,1112210,1287406,1209075,.0089435
"Finance and sales","Finance and salesBus_Rep",10950,-.1769935,-.0925471,-.0071965,.0475151,.1043066,3200,2820,6469,13167,13770,"Bus_Rep",.0390381,.00438,.0030369,.0058163,.0102275,.0113889,.0152019,.0101556,.0133367,.0165276,.0163196,280495,730600,928580,1112210,1287406,1209075,.008352
"Finance and sales","Finance and salesAg_Min_Mfg",-3176,.1524204,.1500868,.1798467,.2318384,.2692397,15300,15360,13598,16135,12184,"Ag_Min_Mfg",-.0113228,.0209417,.0165414,.0122261,.012533,.0100771,.0284492,.0234575,.016628,.0215906,.0192203,280495,730600,928580,1112210,1287406,1209075,-.0064643
"Professional specialists","Professional specialistsTrade",7730,.0425379,-.041249,.0490947,.1168664,.1770456,3400,4340,5500,7612,12070,"Trade",.0275584,.0046537,.0046738,.0049451,.0059127,.0099828,.0116081,.0097951,.0066752,.0086927,.0129536,280495,730600,928580,1112210,1287406,1209075,.005309
"Craft and construction","Craft and constructionCon",-20550,.1044552,.0274543,.0055031,.0236158,.013991,7600,27860,17205,14685,7310,"Con",-.0732633,.0104024,.0300028,.0154692,.0114067,.0060459,.0035156,.0086349,.0045161,.0030839,.0015887,280495,730600,928580,1112210,1287406,1209075,-.0239569
"Managerial","ManagerialEd",3782,-.0452198,.0163796,.0181047,.0630974,.0882593,4100,3420,4347,6808,7202,"Ed",.0134833,.0056118,.003683,.0039084,.0052882,.0059566,.0119013,.0062062,.0055839,.0074905,.0059782,280495,730600,928580,1112210,1287406,1209075,.0022736
"Administrative","AdministrativeFin",3502,.2175206,.1339673,.1595017,.1353353,.1483822,2400,3680,5044,6436,7182,"Fin",.0124851,.003285,.003963,.0045351,.0049992,.0059401,.0014453,.001435,.0017005,.0022105,.0028844,280495,730600,928580,1112210,1287406,1209075,.001977
"Craft and construction","Craft and constructionAg_Min_Mfg",-7946,.1869115,.2088104,.2206021,.1831534,.231125,6300,15100,9969,9590,7154,"Ag_Min_Mfg",-.0283285,.008623,.0162614,.0089632,.0074491,.0059169,.0018308,.0034591,.0025343,.0026362,.0024727,280495,730600,928580,1112210,1287406,1209075,-.0103445
"Farming","FarmingAg_Min_Mfg",-22940,-.4329277,-.325138,-.3557141,-.3175039,-.2690754,17900,30020,11469,7464,7080,"Ag_Min_Mfg",-.081784,.0245004,.0323289,.0103119,.0057977,.0058557,.0085658,.0135522,.0052363,.0036096,.0028348,280495,730600,928580,1112210,1287406,1209075,-.0264732
"Finance and sales","Finance and salesTran_U_Com",4540,.1681301,.1544411,.193218,.2324082,.2810192,500,1500,1516,4821,6040,"Tran_U_Com",.0161857,.0006844,.0016154,.0013631,.0037447,.0049956,.0048733,.0072844,.0062324,.0155941,.0155062,280495,730600,928580,1112210,1287406,1209075,.0033802
"Professional specialists","Professional specialistsEnter",723,-.1678328,-.3171414,-.2851623,-.2372423,-.332434,3000,5280,7789,5422,6003,"Enter",.0025776,.0041062,.0056861,.0070032,.0042116,.004965,.0275229,.0227822,.0217988,.0152386,.0101672,280495,730600,928580,1112210,1287406,1209075,-.0007211
"Managerial","ManagerialEnter",1576,.1587203,-.0049697,.0834221,.2044444,.1297584,3900,3260,5553,5773,4836,"Enter",.0056186,.0053381,.0035107,.0049928,.0044842,.0039998,.055794,.0226295,.0213784,.0243503,.0142715,280495,730600,928580,1112210,1287406,1209075,.000489
"Finance and sales","Finance and salesO_Serv",3163,-.0624651,-.0976229,-.0049897,.033991,.0240193,600,1380,2000,2999,4543,"O_Serv",.0112765,.0008212,.0014861,.0017982,.0023295,.0037574,.0177515,.0254237,.0210575,.0171995,.0176669,280495,730600,928580,1112210,1287406,1209075,.0022713
"Transportation","TransportationTran_U_Com",-8397,.0084139,.0896828,.0258332,.0170038,-.0315788,4900,12620,7839,6843,4223,"Tran_U_Com",-.0299364,.0067068,.0135906,.0070481,.0053153,.0034928,.0031995,.0068169,.0037177,.0026131,.0012691,280495,730600,928580,1112210,1287406,1209075,-.0100979
"Service","ServiceHealth",649,-.1483044,-.1491622,-.1766341,-.151273,-.1346191,500,3220,3794,5519,3869,"Health",.0023138,.0006844,.0034677,.0034112,.0042869,.0032,.0003957,.0015279,.0015935,.0020769,.0009788,280495,730600,928580,1112210,1287406,1209075,-.0002677
