ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Petroleum products",.0034218,.0153941,.1372689,2.26e+07,2500,730600,6.64e+09,.0033966,.0044153,.0240356,.202252,7.80e+07,4100,928580,1.50e+10,.0051983,.0027576,.0186241,.21544,1.02e+08,3067,1112210,3.56e+10,.0028688,.0013438,.0112182,.1869863,7.81e+07,1730,1287406,6.42e+10,.0012172,.0021827,.0235094,.3632707,2.17e+08,2639,1209075,9.13e+10,.002379,-1461,280495,.0018239,-.0052086,-.0028193
"Apparel, fabrics, and notions",.0057487,.0477816,.2233376,4.19e+07,4200,730600,6.64e+09,.0063179,.0037261,.0309703,.1169381,5.58e+07,3460,928580,1.50e+10,.0037136,.0033914,.0281901,.1622821,1.11e+08,3772,1112210,3.56e+10,.0031153,.0024631,.0265145,.1154943,1.42e+08,3171,1287406,6.42e+10,.0022089,.0021355,.0211851,.1305395,1.64e+08,2582,1209075,9.13e+10,.0017978,-878,280495,.0014206,-.0031302,-.0019158
"Justice, public order, and safety",.0069806,.0029639,.0775211,3.93e+07,5100,730600,6.64e+09,.0059214,.00336,.0022713,.1022274,5.12e+07,3120,928580,1.50e+10,.0034098,.0023763,.0014729,.2008096,7.90e+07,2643,1112210,3.56e+10,.0022188,.003824,.0019957,.198759,2.09e+08,4923,1287406,6.42e+10,.0032633,.002114,.0009828,.2730013,1.60e+08,2556,1209075,9.13e+10,.0017538,-564,280495,.0014278,-.0020107,-.0016559
"Nursing and personal care facilities",.0016425,.0026189,-.2417206,4209271,1200,730600,6.64e+09,.000634,.0019384,.0018231,-.1911259,1.28e+07,1800,928580,1.50e+10,.0008537,.0018657,.0016057,-.1657559,2.91e+07,2075,1112210,3.56e+10,.0008162,.0029416,.0025341,-.0456128,8.99e+07,3787,1287406,6.42e+10,.0014003,.0019784,.0013158,.0056524,8.16e+07,2392,1209075,9.13e+10,.0008943,592,280495,.0009022,.0021106,.0000405
"Miscellaneous fabricated metal products",.00438,.0088398,.149443,2.52e+07,3200,730600,6.64e+09,.0037985,.0033815,.007241,.1694779,4.87e+07,3140,928580,1.50e+10,.0032405,.0019592,.006534,.1693365,5.63e+07,2179,1112210,3.56e+10,.0015812,.0028157,.0081828,.1269902,1.32e+08,3625,1287406,6.42e+10,.0020637,.0019775,.0057893,.1134955,1.18e+08,2391,1209075,9.13e+10,.0012889,-749,280495,.0009047,-.0026703,-.0019516
"Manufacturing industries, n.s. ",.0030112,.0113813,.0084427,1.48e+07,2200,730600,6.64e+09,.0022232,.0028646,.0106836,-.0435279,3.29e+07,2660,928580,1.50e+10,.0021923,.005695,.0092381,.0600064,1.53e+08,6334,1112210,3.56e+10,.0042826,.0050023,.0096843,.032761,2.23e+08,6440,1287406,6.42e+10,.003472,.0018651,.0054849,-.0518516,9.67e+07,2255,1209075,9.13e+10,.0010599,-405,280495,.000837,-.0014439,-.0011324
"Fabricated structural metal products",.0031481,.0061878,.1469941,1.88e+07,2300,730600,6.64e+09,.0028319,.0047384,.0101038,.1356591,6.95e+07,4400,928580,1.50e+10,.0046279,.0024474,.0073234,.1292118,7.09e+07,2722,1112210,3.56e+10,.001989,.0024072,.0074343,.1305124,1.14e+08,3099,1287406,6.42e+10,.0017804,.0017625,.0063266,.148845,1.06e+08,2131,1209075,9.13e+10,.0011602,-2269,280495,.0004774,-.0080893,-.0034678
"National security and international affairs ",.0075281,.0036113,.2495879,5.18e+07,5500,730600,6.64e+09,.0078061,.0018308,.0026353,.2208086,3.13e+07,1700,928580,1.50e+10,.0020835,.0008587,.001344,.1945192,2.87e+07,955,1112210,3.56e+10,.0008068,.0010649,.0023092,.2405217,6.59e+07,1371,1287406,6.42e+10,.0010273,.0017592,.0022106,.3711167,1.61e+08,2127,1209075,9.13e+10,.0017627,427,280495,.0016995,.0015223,-.0003208
"Services to dwellings and other buildings",.0017794,.0085079,-.1795545,7486826,1300,730600,6.64e+09,.0011276,.0010985,.0033964,-.3469568,9378469,1020,928580,1.50e+10,.0006246,.0015285,.0024108,-.4103847,2.36e+07,1700,1112210,3.56e+10,.0006625,.0018627,.0028685,-.328966,5.21e+07,2398,1287406,6.42e+10,.0008112,.0017559,.0015412,-.4076709,5.53e+07,2123,1209075,9.13e+10,.0006056,1103,280495,.0006018,.0039323,-.0000191
"Automotive repair and related services",.0036956,.0069089,-.0751368,1.82e+07,2700,730600,6.64e+09,.0027391,.0035107,.0050318,-.1080244,4.02e+07,3260,928580,1.50e+10,.0026789,.0035785,.0042449,-.0998199,8.08e+07,3980,1112210,3.56e+10,.0022693,.002815,.0028714,-.0689661,1.08e+08,3624,1287406,6.42e+10,.0016773,.001741,.0018107,-.0632333,8.33e+07,2105,1209075,9.13e+10,.000913,-1155,280495,.0005653,-.0041177,-.0017659
"Gas and steam supply systems",.0005475,.0031546,.1330119,3376798,400,730600,6.64e+09,.0005086,.0010769,.0060386,.2168802,1.78e+07,999.9999,928580,1.50e+10,.0011879,.0010187,.0068072,.3376206,3.83e+07,1133,1112210,3.56e+10,.0010743,.0011729,.0093441,.3347296,7.81e+07,1510,1287406,6.42e+10,.0012171,.001693,.0118916,.5187408,1.66e+08,2047,1209075,9.13e+10,.0018163,1047,280495,.00194,.0037327,.0006283
"Lumber and construction materials",.0038325,.0240964,.1235422,2.58e+07,2800,730600,6.64e+09,.0038901,.00308,.0195089,.136957,4.79e+07,2860,928580,1.50e+10,.0031889,.0016705,.0109792,.1327453,5.08e+07,1858,1112210,3.56e+10,.001427,.0018215,.0130276,.1372907,9.63e+07,2345,1287406,6.42e+10,.0015006,.0016922,.0126292,.147735,1.20e+08,2046,1209075,9.13e+10,.0013115,-814,280495,.0009419,-.002902,-.0018774
