
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)"

="patents_pop1000",="-0.537",="-0.147",="0.267",="0.389",="-0.129",="0",="0",="-0.0988",="-0.176",="-0.156",="1.049",="-0.0222",="-0.647",="-0.139",="-0.283",="-0.293",="-0.630",="-0.0764",="0.0956",="-0.266",="-0.0769",="-0.0854",="-0.0453",="-0.0240",="-0.121",="-0.0496",="-0.0154",="-0.194",="-0.0816",="0.0283",="-0.0755",="0.0481",="-0.0468",="-0.0463",="0.0157",="-0.0812",="-0.0544",="-0.0614",="-0.0331",="-0.0151",="-0.0325",="-0.0600",="-0.0936",="-0.0345",="-0.124",="-0.0356",="-0.0757",="-0.0901",="-0.0360",="-0.0654",="-0.0764",="-0.0781",="-0.0316",="-0.0797",="-0.0931"
="",="(0.3873)",="(0.2641)",="(0.3285)",="(0.1528)",="(0.2029)",="(.)",="(.)",="(0.4217)",="(0.2222)",="(0.2111)",="(0.2052)",="(.)",="(0.2523)",="(0.1908)",="(0.3169)",="(0.2844)",="(0.2445)",="(0.1238)",="(0.1969)",="(0.1867)",="(0.1307)",="(0.1597)",="(0.1430)",="(0.1673)",="(0.1903)",="(0.1272)",="(0.1530)",="(0.1226)",="(0.1346)",="(0.1311)",="(0.1325)",="(0.1356)",="(0.1313)",="(0.1273)",="(0.1930)",="(0.1304)",="(0.1548)",="(0.1405)",="(0.1606)",="(0.1597)",="(0.1794)",="(0.1594)",="(0.1914)",="(0.1496)",="(0.1426)",="(0.1713)",="(0.1208)",="(0.1366)",="(0.1479)",="(0.1655)",="(0.1244)",="(0.1335)",="(0.1751)",="(0.1322)",="(0.1356)"

="oecd_tertiary",="0.00162",="-0.000499",="-0.000823",="-0.000744",="0.000453",="-0.0124",="-0.00671",="-0.00123",="0.000624",="0.000510",="-0.0103",="0.000610",="-0.00242",="0.000527",="-0.000149",="-0.000272",="0.00193",="0.00148",="0.000899",="0.00162",="0.000508",="0.000325",="0.000293",="0.000525",="-0.00107",="-0.000332",="-0.000830",="0.00125",="0.000310",="-0.000296",="0.000253",="-0.000112",="0.000166",="-0.0000821",="-0.000423",="0.000209",="-0.000139",="0.000138",="0.000639",="0.000855",="0.00000114",="0.000375",="0.000174",="0.000597",="0.0000966",="0.000519",="0.000460",="0.0000404",="-0.0000718",="0.000106",="0.000233",="0.000229",="0.000266",="0.000315",="0.0000224"
="",="(0.0022)",="(0.0026)",="(0.0019)",="(0.0009)",="(0.0022)",="(.)",="(.)",="(0.0052)",="(0.0020)",="(0.0018)",="(0.0018)",="(.)",="(0.0018)",="(0.0018)",="(0.0025)",="(0.0023)",="(0.0015)",="(0.0017)",="(0.0014)",="(0.0019)",="(0.0015)",="(0.0016)",="(0.0013)",="(0.0016)",="(0.0016)",="(0.0014)",="(0.0017)",="(0.0012)",="(0.0014)",="(0.0012)",="(0.0014)",="(0.0012)",="(0.0013)",="(0.0013)",="(0.0017)",="(0.0013)",="(0.0019)",="(0.0016)",="(0.0016)",="(0.0016)",="(0.0015)",="(0.0016)",="(0.0014)",="(0.0015)",="(0.0013)",="(0.0015)",="(0.0012)",="(0.0014)",="(0.0014)",="(0.0018)",="(0.0013)",="(0.0014)",="(0.0013)",="(0.0014)",="(0.0014)"

="tradefreedom",="0.0110",="0.00448",="0.00536",="0.00812",="0.00530",="0",="0",="-0.0356",="0.00500",="0.00300",="0.0366",="0.0140",="0.0206",="0.00306",="0.0137",="-0.00224",="0.0232",="0.00567",="0.00626",="0.00486",="0.00333",="0.00296",="0.00325",="0.00351",="-0.00699",="-0.000480",="0.00145",="-0.00113",="0.00300",="-0.00326",="0.00297",="-0.00411",="0.00518",="0.00162",="0.000565",="0.00246",="0.00356",="0.00321",="0.00275",="0.00264",="0.00347",="0.00294",="0.00306",="0.00256",="-0.000311",="0.00309",="0.000152",="0.00273",="0.00519",="0.00337",="0.00311",="0.00296",="0.00335",="0.00324",="0.00361"
="",="(0.0096)",="(0.0079)",="(0.0062)",="(0.0031)",="(0.0070)",="(.)",="(.)",="(0.0898)",="(0.0081)",="(0.0066)",="(0.0087)",="(.)",="(0.0085)",="(0.0066)",="(0.0182)",="(0.0098)",="(0.0093)",="(0.0055)",="(0.0056)",="(0.0052)",="(0.0052)",="(0.0055)",="(0.0052)",="(0.0065)",="(0.0111)",="(0.0061)",="(0.0058)",="(0.0048)",="(0.0053)",="(0.0060)",="(0.0057)",="(0.0062)",="(0.0056)",="(0.0051)",="(0.0065)",="(0.0053)",="(0.0055)",="(0.0058)",="(0.0053)",="(0.0052)",="(0.0053)",="(0.0053)",="(0.0053)",="(0.0053)",="(0.0068)",="(0.0052)",="(0.0054)",="(0.0053)",="(0.0063)",="(0.0058)",="(0.0050)",="(0.0056)",="(0.0052)",="(0.0053)",="(0.0053)"

